Niche x MostPop;Niche x BPR;Niche x MF;Niche x PFM;Niche x NMF;Niche x WMF;Niche x PF;Niche x NeuMF;Niche x VAECF;Diverse x MostPop;Diverse x BPR;Diverse x MF;Diverse x PFM;Diverse x NMF;Diverse x WMF;Diverse x PF;Diverse x NeuMF;Diverse x VAECF;BestSeller x MostPop;BestSeller x BPR;BestSeller x MF;BestSeller x PFM;BestSeller x NMF;BestSeller x WMF;BestSeller x PF;BestSeller x NeuMF;BestSeller x VAECF
0,0044;0,0044;0,0013;0,003;0,0008;0,0433;0,0041;0,0032;0,0117;0,0176;0,0177;0,0021;0,0055;0,0008;0,0312;0,0169;0,0164;0,0279;0,0395;0,0396;0,0027;0,0095;0,0002;0,0667;0,0407;0,0365;0,066
0,0067;0,0068;0,0004;0,0032;0,0013;0,0464;0,0041;0,0071;0,0126;0,0171;0,0173;0,0028;0,0046;0,0002;0,0298;0,0133;0,0164;0,0284;0,0353;0,035;0,0008;0,0072;0;0,0675;0,029;0,0344;0,0585
0,0055;0,0056;0,0015;0,0014;0,0016;0,0395;0,0047;0,0049;0,0138;0,0159;0,0162;0,0025;0,0033;0,0006;0,0296;0,015;0,0162;0,0287;0,0295;0,0297;0,0028;0,0035;0,0005;0,061;0,0413;0,0301;0,0595
0,0034;0,0036;0,0012;0,0026;0,0006;0,0384;0,0022;0,004;0,0144;0,0167;0,0165;0,0024;0,0061;0,0007;0,0298;0,0161;0,0168;0,0303;0,0354;0,0352;0,0025;0,0088;0,0016;0,0722;0,0371;0,0337;0,0609
0,003;0,0038;0,0021;0,0012;0,0008;0,0429;0,0034;0,003;0,0159;0,0163;0,0167;0,0022;0,0046;0,0006;0,0301;0,015;0,0162;0,0285;0,0249;0,0251;0,0001;0,0104;0,0007;0,0668;0,0402;0,0226;0,0601
0,004;0,004;0,0004;0,003;0,0007;0,0467;0,004;0,0035;0,0146;0,0183;0,0182;0,0022;0,0047;0,0005;0,0278;0,0161;0,0165;0,0314;0,026;0,0262;0,0014;0,0064;0,0004;0,0544;0,0324;0,0242;0,0621
0,0057;0,0057;0,002;0,0028;0,0005;0,0434;0,0016;0,0058;0,0116;0,0163;0,0164;0,002;0,0058;0,0008;0,0287;0,0158;0,0156;0,0292;0,0286;0,0287;0,0017;0,0118;0,0002;0,0587;0,0512;0,0274;0,0684
0,002;0,0019;0,001;0,001;0,0012;0,0427;0,0051;0,002;0,0111;0,0179;0,0178;0,0028;0,0032;0,0008;0,0298;0,0188;0,0173;0,0309;0,0227;0,0224;0,0019;0,006;0;0,058;0,0323;0,023;0,0529
0,0057;0,0057;0,0008;0,0017;0,0022;0,0447;0,0037;0,0055;0,0111;0,0168;0,0168;0,0024;0,0049;0,0005;0,03;0,0154;0,0155;0,031;0,0263;0,0267;0,0007;0,0049;0,0005;0,0608;0,0327;0,0274;0,0643
0,005;0,005;0,0004;0,005;0,0004;0,0495;0,0055;0,0047;0,0131;0,0166;0,0165;0,0025;0,0035;0,0009;0,0248;0,0163;0,0161;0,0276;0,031;0,0308;0,0009;0,0077;0,0001;0,0574;0,0376;0,031;0,0606
0,0033;0,0033;0,0006;0,0025;0,001;0,0414;0,0058;0,0038;0,0121;0,0163;0,0166;0,0024;0,0052;0,0004;0,0299;0,0159;0,016;0,0289;0,0347;0,0344;0,0012;0,0078;0;0,0644;0,0409;0,0331;0,0718
0,0044;0,0043;0,0008;0,0024;0,0004;0,0401;0,0041;0,0032;0,0142;0,0176;0,0175;0,0019;0,0045;0,0007;0,0315;0,0169;0,0164;0,0288;0,0395;0,0391;0,0028;0,0048;0;0,0665;0,0407;0,0365;0,0705
0,0043;0,0043;0,0009;0,0021;0,001;0,0389;0,0027;0,0036;0,0139;0,0171;0,0173;0,0028;0,0071;0,0008;0,03;0,016;0,0166;0,032;0,0295;0,0296;0,0015;0,0165;0;0,0613;0,0384;0,0263;0,0643
0,0044;0,0043;0,0003;0,0023;0,0013;0,044;0,0041;0,0032;0,0165;0,0176;0,0176;0,0021;0,0042;0,0008;0,0309;0,0169;0,0163;0,0305;0,0395;0,0394;0,0032;0,0047;0,0004;0,0665;0,0407;0,0362;0,0649
0,005;0,0048;0,0005;0,0022;0,001;0,0402;0,0036;0,0045;0,0161;0,017;0,0167;0,0021;0,0038;0,0008;0,0328;0,0151;0,016;0,0303;0,0271;0,0268;0,0024;0,0086;0,0015;0,0643;0,0408;0,0246;0,064
0,0038;0,004;0,0015;0,0034;0,0014;0,0422;0,0049;0,0033;0,0191;0,018;0,018;0,0022;0,0053;0,0007;0,0297;0,0157;0,0175;0,0308;0,0271;0,0268;0,002;0,0116;0;0,0619;0,0328;0,0245;0,0624
0,0054;0,0054;0,0011;0,0026;0,001;0,0468;0,0041;0,0047;0,0125;0,0169;0,0172;0,0021;0,004;0,0006;0,0288;0,0141;0,0158;0,0315;0,0323;0,0328;0,0009;0,0093;0,0008;0,0649;0,0385;0,0331;0,0709
0,004;0,0041;0,0004;0,0017;0,0008;0,0436;0,0036;0,0033;0,0124;0,016;0,0161;0,002;0,0045;0,0005;0,0298;0,0157;0,015;0,0299;0,0298;0,0297;0,0012;0,0063;0,0002;0,0632;0,0368;0,0291;0,0576
0,0054;0,0054;0,0002;0,0013;0,0007;0,041;0,0046;0,0048;0,014;0,0205;0,0205;0,002;0,0034;0,0006;0,0294;0,0158;0,0187;0,029;0,0329;0,0325;0,003;0,0076;0,0001;0,0629;0,0407;0,0317;0,0743
